"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"777","e16daa5b-e06b-4c65-8f73-a281aafeddfd","Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie","1999-01-01","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","międzynarodowy instytut naukowy","013082798","5262278704","","","","","http://www.iimcb.gov.pl","secretariat@iimcb.gov.pl","(22) 59 70 700","/iimcb/skrytka","Polska","mazowieckie","ul. Księcia Trojdena","4","02-109","Warszawa","Marta Elżbieta prof. dr hab. Miączyńska - Dyrektor instytutu międzynarodowego","10f167a8-b05b-4d20-bb24-55a199b644b2",,,,,"Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie","1999-01-01",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","1999-01-01","Działająca","1999-01-01","międzynarodowy instytut naukowy","1999-01-01","ul. Księcia Trojdena 4, 02-109 Warszawa, woj. mazowieckie, Polska","1999-01-01"
"778","0f0a528c-efac-485d-b3ee-1a3f2b640f2e","Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","387899800","7011013688","","","","71","www.imol.institute","grantoffice@imol.institute","+48 607 435 448","/IMol/imolpan","Polska","mazowieckie","ul. Marcina Flisa","6","02-247","Warszawa","Agnieszka Chacińska - Dyrektor instytutu PAN","24e5adc5-4033-4e99-a463-71a81c576ac2",,,,,"Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","2020-11-17","Działająca","2020-11-17","instytut naukowy PAN","2020-11-17","ul. Bedřicha Smetany 2, 00-783 Warszawa, woj. mazowieckie, Polska","2020-11-17"
"779","0f0a528c-efac-485d-b3ee-1a3f2b640f2e","Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","387899800","7011013688","","","","71","www.imol.institute","grantoffice@imol.institute","+48 607 435 448","/IMol/imolpan","Polska","mazowieckie","ul. Marcina Flisa","6","02-247","Warszawa","Agnieszka Chacińska - Dyrektor instytutu PAN","24e5adc5-4033-4e99-a463-71a81c576ac2",,,,,"Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","2020-11-17","Działająca","2020-11-17","instytut naukowy PAN","2020-11-17","ul. Marcina Flisa 6, 02-247 Warszawa, woj. mazowieckie, Polska","2022-10-28"
"780","99dd4a93-4f06-4407-a369-747fd4bbac77","MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","362634106","7792434840","","","","","http://www.iimo.pl","poznan@iimo.pl","509970711","","Polska","wielkopolskie","ul. Jakuba Krauthofera","23","60-203","Poznań","","",,,,,"MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2015-10-01","Działająca","2015-10-01","międzynarodowy instytut naukowy","2015-10-01","ul. Jakuba Krauthofera 23, 60-203 Poznań, woj. wielkopolskie, Polska","2015-10-01"
"781","99dd4a93-4f06-4407-a369-747fd4bbac77","MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","362634106","7792434840","","","","","http://www.iimo.pl","poznan@iimo.pl","509970711","","Polska","wielkopolskie","ul. Jakuba Krauthofera","23","60-203","Poznań","","",,,,,"MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2015-10-01","Działająca","2015-10-01","inna instytucja naukowa","2015-10-04","ul. Jakuba Krauthofera 23, 60-203 Poznań, woj. wielkopolskie, Polska","2015-10-01"
"782","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","ul. Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Rolnictwa i Rozwoju Wsi","1947-10-28","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"783","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","ul. Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"784","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","ul. Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Rolnictwa i Rozwoju Wsi","2020-11-02","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"785","dd487c6f-a552-4f79-add1-2ad62d60def8","Muzeum Archeologiczne w Poznaniu","1857-07-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000654977","7781027953","","","","","www.muzarp.poznan.pl","","48 61 852 64 30","","Polska","wielkopolskie","ul. Wodna","27","61-781","Poznań","Marzena Szmyt - Dyrektor generalny","",,,,,"Muzeum Archeologiczne w Poznaniu","1857-07-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1857-07-01","inna instytucja naukowa","1857-07-01","ul. Wodna 27, 61-781 Poznań, woj. wielkopolskie, Polska","1857-07-01"
"786","7376b034-1ad5-422a-a3ce-b7412888cb37","Muzeum Górnośląskie w Bytomiu","1910-05-12","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000278451","6260004392","","","","","http://www.muzeum.bytom.pl","sekretariat@muzeum.bytom.pl","+48 32 281 34 01","","Polska","śląskie","pl. Jana III Sobieskiego","2","41-902","Bytom","Iwona Mohl - Dyrektor generalny","",,,,,"Muzeum Górnośląskie w Bytomiu","1910-05-12",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1910-05-12","inna instytucja naukowa","1910-05-12","pl. Jana III Sobieskiego 2, 41-902 Bytom, woj. śląskie, Polska","1910-05-12"
"787","11fb7b14-d357-4383-a3ea-734a7c3260b0","Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie","1986-12-31","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","001258462","6771207972","","","","","www.mufo.krakow.pl","sekretariat@mufo.krakow.pl","+48 12 395 70 42","","Polska","małopolskie","ul. Józefitów","16","30-045","Kraków","Marek Świca - Dyrektor Muzeum","",,,,,"Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie","1986-12-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1986-12-31","inna instytucja naukowa","1986-12-31","ul. Józefitów 16, 30-045 Kraków, woj. małopolskie, Polska","1986-12-31"
"788","15d72db7-de64-4c7b-82ef-d952c13e2388","Muzeum Historyczne Miasta Krakowa","1899-05-31","","Instytucja naukowa","Nie","","","2022-07-31","","inna instytucja naukowa","382698540","6762562544","","","","","www.muzeumkrakowa.pl","sekretariat@muzeumkrakowa.pl","12 619 23 01","/MHK/skrytka","Polska","małopolskie","Rynek Główny","35","31-011","Kraków","Michał Niezabitowski - Dyrektor generalny","",,,,,"Muzeum Historyczne Miasta Krakowa","1899-05-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1899-05-31","inna instytucja naukowa","1899-05-31","Rynek Główny 35, 31-011 Kraków, woj. małopolskie, Polska","1899-05-31"
"789","15d72db7-de64-4c7b-82ef-d952c13e2388","Muzeum Historyczne Miasta Krakowa","1899-05-31","","Instytucja naukowa","Nie","","","2022-07-31","","inna instytucja naukowa","382698540","6762562544","","","","","www.muzeumkrakowa.pl","sekretariat@muzeumkrakowa.pl","12 619 23 01","/MHK/skrytka","Polska","małopolskie","Rynek Główny","35","31-011","Kraków","Michał Niezabitowski - Dyrektor generalny","",,,,,"Muzeum Historyczne Miasta Krakowa","1899-05-31",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Wykreślona z wykazu","2022-07-31","inna instytucja naukowa","1899-05-31","Rynek Główny 35, 31-011 Kraków, woj. małopolskie, Polska","1899-05-31"
"790","1fe5fa7e-664f-448f-95c1-a19cc6a7664a","Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","016912059","5250008689","","","","","http://www.miiz.waw.pl","sekretariat@miiz.waw.pl","22 629 32 21","/MIIZPAN/SkrytkaESP","Polska","mazowieckie","ul. Twarda","51","00-818","Warszawa","Tomasz Dariusz Mazgajski - Dyrektor instytutu PAN","",,,,,"Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","1819-01-01","Działająca","1819-01-01","instytut naukowy PAN","1819-01-01","ul. Wilcza 64, 00-679 Warszawa, woj. mazowieckie, Polska","1819-01-01"
"791","1fe5fa7e-664f-448f-95c1-a19cc6a7664a","Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","016912059","5250008689","","","","","http://www.miiz.waw.pl","sekretariat@miiz.waw.pl","22 629 32 21","/MIIZPAN/SkrytkaESP","Polska","mazowieckie","ul. Twarda","51","00-818","Warszawa","Tomasz Dariusz Mazgajski - Dyrektor instytutu PAN","",,,,,"Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","1819-01-01","Działająca","1819-01-01","instytut naukowy PAN","1819-01-01","ul. Twarda 51/55, 00-818 Warszawa, woj. mazowieckie, Polska","2024-02-01"
"792","84fb79da-3e44-465c-b823-231d4e52b764","Muzeum Narodowe w Krakowie","1879-10-07","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000275961","6750004442","","","","","http://www.muzeum.krakow.pl","dyrekcja@muzeum.krakow.pl","122955620","","Polska","małopolskie","al. 3 Maja","1","30-062","Kraków","","",,,,,"Muzeum Narodowe w Krakowie","1879-10-07",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1879-10-07","inna instytucja naukowa","1879-10-07","al. 3 Maja 1, 30-062 Kraków, woj. małopolskie, Polska","1879-10-07"
"793","2f9e2bb1-bcc3-4238-956e-aa4e4f1a0405","Muzeum Narodowe w Poznaniu","1950-06-18","","Instytucja naukowa","Nie","","","2023-04-20","","inna instytucja naukowa","000275978","7770006321","","","","","http://www.mnp.art.pl","mnp@mnp.art.pl","(61)85-68-000","","Polska","wielkopolskie","al. Aleje Karola Marcinkowskiego","9","61-745","Poznań","","",,,,,"Muzeum Narodowe w Poznaniu","1950-06-18",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1950-06-18","inna instytucja naukowa","1950-06-18","al. Aleje Karola Marcinkowskiego 9, 61-745 Poznań, woj. wielkopolskie, Polska","1950-06-18"
"794","2f9e2bb1-bcc3-4238-956e-aa4e4f1a0405","Muzeum Narodowe w Poznaniu","1950-06-18","","Instytucja naukowa","Nie","","","2023-04-20","","inna instytucja naukowa","000275978","7770006321","","","","","http://www.mnp.art.pl","mnp@mnp.art.pl","(61)85-68-000","","Polska","wielkopolskie","al. Aleje Karola Marcinkowskiego","9","61-745","Poznań","","",,,,,"Muzeum Narodowe w Poznaniu","1950-06-18",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Wykreślona z wykazu","2023-04-20","inna instytucja naukowa","1950-06-18","al. Aleje Karola Marcinkowskiego 9, 61-745 Poznań, woj. wielkopolskie, Polska","1950-06-18"
"795","a8cd037e-c268-4671-9890-b00628258e10","Muzeum Sztuki w Łodzi","1930-04-13","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000277500","7241000146","","","","","http://msl.org.pl","muzeum@msl.org.pl","048426338273","","Polska","łódzkie","ul. płk. dr. Stanisława Więckowskiego","36","90-734","Łódź","Andrzej Biernacki - Dyrektor generalny","",,,,,"Muzeum Sztuki w Łodzi","1930-04-13",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","1930-04-13","inna instytucja naukowa","1930-04-13","ul. płk. dr. Stanisława Więckowskiego 36, 90-734 Łódź, woj. łódzkie, Polska","1930-04-13"
"796","a1d1a77a-3ee7-4907-b99c-37101c6f4f03","Muzeum Sztuki Współczesnej w Krakowie MOCAK","2009-12-02","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","121135203","6751427073","","","","","www.mocak.pl","mocak@mocak.pl","12 2634000","","Polska","małopolskie","ul. Lipowa","4","30-702","Kraków","Maria Anna Potocka - Dyrektor generalny","155173db-d2a5-47d6-9c52-0b0876aafcfa",,,,,"Muzeum Sztuki Współczesnej w Krakowie MOCAK","2009-12-02",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2022-04-29","Działająca","2009-12-02","inna instytucja naukowa","2009-12-02","ul. Lipowa 4, 30-702 Kraków, woj. małopolskie, Polska","2009-12-02"
"797","1ae24be8-cdc4-4a46-b7b3-eed283b003c9","Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2001-10-09","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","052014958","5441397704","","081","222","","","nsw.rektorat@op.pl","85 655 59 19","","Polska","podlaskie","ul. Tadeusza Kościuszki","43","17-300","Siemiatycze","","",,,,,"Nadbużańska Szkoła Wyższa w Siemiatyczach z siedzibą w Siemiatyczach","2001-10-09",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2001-10-09","Działająca","2001-10-09","zawodowa","2001-10-09","ul. Tadeusza Kościuszki 43, 17-300 Siemiatycze, woj. podlaskie, Polska","2001-10-09"
"798","1ae24be8-cdc4-4a46-b7b3-eed283b003c9","Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2001-10-09","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","zawodowa","","052014958","5441397704","","081","222","","","nsw.rektorat@op.pl","85 655 59 19","","Polska","podlaskie","ul. Tadeusza Kościuszki","43","17-300","Siemiatycze","","",,,,,"Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2018-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2001-10-09","Działająca","2001-10-09","zawodowa","2001-10-09","ul. Tadeusza Kościuszki 43, 17-300 Siemiatycze, woj. podlaskie, Polska","2001-10-09"
"799","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Klimatu i Środowiska (poprzednio MŚiK)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","ul. Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Gospodarki","1955-06-04","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"800","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Klimatu i Środowiska (poprzednio MŚiK)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","ul. Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Energii","2016-09-01","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"801","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Klimatu i Środowiska (poprzednio MŚiK)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","ul. Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Klimatu i Środowiska (poprzednio MŚiK)","2021-04-12","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"802","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","ul. Spartańska","1","02-637","Warszawa","Agnieszka Neumann-Podczaska - Dyrektor instytutu","",,,,,"Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher","1951-03-10",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1951-03-10","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"803","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","ul. Spartańska","1","02-637","Warszawa","Agnieszka Neumann-Podczaska - Dyrektor instytutu","",,,,,"Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher","1951-03-10",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"804","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","ul. Spartańska","1","02-637","Warszawa","Agnieszka Neumann-Podczaska - Dyrektor instytutu","",,,,,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","2015-09-15",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1951-03-10","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"805","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","ul. Spartańska","1","02-637","Warszawa","Agnieszka Neumann-Podczaska - Dyrektor instytutu","",,,,,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","2015-09-15",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"806","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","ul. Alpejska","42","04-628","Warszawa","Janina Marta Stępińska - Dyrektor instytutu","ffa260b0-252b-4289-aa17-01d7368a5cab",,,,,"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego","1979-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1979-03-21","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"807","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","ul. Alpejska","42","04-628","Warszawa","Janina Marta Stępińska - Dyrektor instytutu","ffa260b0-252b-4289-aa17-01d7368a5cab",,,,,"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego","1979-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"808","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","ul. Alpejska","42","04-628","Warszawa","Janina Marta Stępińska - Dyrektor instytutu","ffa260b0-252b-4289-aa17-01d7368a5cab",,,,,"Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","2019-10-17",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1979-03-21","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
